subject_label_original	subject_label	subject_type	subject_final_label	subject_final_curie	subject_missing_final	predicate_raw	biolink_predicate	association_category	object_label_original	object_label	object_type	object_final_label	object_final_curie	object_missing_final	report_id	pmid	link	outcome
Everolimus (Afinitor, Afinitor Disperz, Zortress)	Everolimus (Afinitor, Afinitor Disperz, Zortress)	Drug	Everolimus	CHEBI:68478	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
Everolimus (Afinitor, Afinitor Disperz, Zortress)	Everolimus (Afinitor, Afinitor Disperz, Zortress)	Drug	Everolimus	CHEBI:68478	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Hypertrophic cardiomyopathy (with symptoms)	Hypertrophic cardiomyopathy (with symptoms)	PhenotypicFeature	hypertrophic cardiomyopathy	MONDO:0005045	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	Patient’s condition was unchanged
Everolimus (Afinitor, Afinitor Disperz, Zortress)	Everolimus (Afinitor, Afinitor Disperz, Zortress)	Drug	Everolimus	CHEBI:68478	N	has_adverse_events	biolink:has_adverse_event	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	Mouth sore only once	Mouth sore only once	AdverseEvent	Oral ulcer	HP:0000155	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	Non-serious Medical Event Not Requiring Intervention
Nadolol (Corgard)	Nadolol (Corgard)	Drug	Nadolol	CHEBI:7444	N	applied_to_treat	biolink:applied_to_treat	biolink:ChemicalToDiseaseOrPhenotypicFeatureAssociation	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Hypertrophic cardiomyopathy (with symptoms)	Hypertrophic cardiomyopathy (with symptoms)	PhenotypicFeature	hypertrophic cardiomyopathy	MONDO:0005045	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Difficulty gaining weight	Difficulty gaining weight	PhenotypicFeature	Poor weight gain	HP:0001824	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Failure to thrive	Failure to thrive	PhenotypicFeature	Failure to Thrive	NCIT:C107587	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Short stature	Short stature	PhenotypicFeature	Short stature	HP:0004322	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Gut dysmotility (slow emptying)	Gut dysmotility (slow emptying)	PhenotypicFeature	Small intestinal dysmotility	HP:0012850	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	G tube fed	G tube fed	PhenotypicFeature	Gastrostomy tube feeding	HP:0011471	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Chylacites/Chylous effusion	Chylacites/Chylous effusion	PhenotypicFeature	Chylous ascites	HP:0025302	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Chylacites/Chylous effusion	Chylacites/Chylous effusion	PhenotypicFeature	Chylous pleural effusion	HP:0003270	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	NSML: Noonan Syndrome with Multiple Lentigines (Formerly LEOPARD)	Disease	Noonan syndrome with multiple lentigines	MONDO:0007893	N	has_phenotype_of	biolink:has_phenotype	biolink:DiseaseToPhenotypicFeatureAssociation	Lymphangiectasia - Pulmonary	Lymphangiectasia - Pulmonary	PhenotypicFeature	Pulmonary lymphangiectasia	HP:0006521	N	a17f2489-685d-4878-a44a-80d28af170b6		https://cure.ncats.io/explore/nsml/case-reports/case-details/a17f2489-685d-4878-a44a-80d28af170b6	
